m,meant,maxt,mint,meanb,maxb,minb
     1,0.7868E-05,0.2384E-04,0.1669E-05,0.1960E+07,0.4793E+07,0.3355E+06
    51,0.5245E-05,0.7153E-05,0.2623E-05,0.8654E+08,0.1556E+09,0.5704E+08
   101,0.5174E-05,0.7153E-05,0.2623E-05,0.1658E+09,0.3081E+09,0.1130E+09
   151,0.7105E-05,0.2122E-04,0.3099E-05,0.2147E+09,0.3897E+09,0.5693E+08
   201,0.6318E-05,0.8583E-05,0.3815E-05,0.2654E+09,0.4215E+09,0.1873E+09
   251,0.5388E-05,0.9537E-05,0.3099E-05,0.4147E+09,0.6479E+09,0.2106E+09
   301,0.6294E-05,0.7629E-05,0.3576E-05,0.3976E+09,0.6733E+09,0.3156E+09
   351,0.6890E-05,0.1097E-04,0.3815E-05,0.4455E+09,0.7361E+09,0.2560E+09
   401,0.7105E-05,0.9775E-05,0.4292E-05,0.4808E+09,0.7475E+09,0.3282E+09
   451,0.9823E-05,0.3910E-04,0.4530E-05,0.5313E+09,0.7965E+09,0.9227E+08
   501,0.1101E-04,0.2718E-04,0.4768E-05,0.4830E+09,0.8405E+09,0.1475E+09
   551,0.1111E-04,0.1502E-04,0.5007E-05,0.4565E+09,0.8804E+09,0.2935E+09
   601,0.1202E-04,0.1979E-04,0.5722E-05,0.4339E+09,0.8403E+09,0.2430E+09
   651,0.1214E-04,0.1645E-04,0.5484E-05,0.4638E+09,0.9497E+09,0.3166E+09
   701,0.1135E-04,0.1597E-04,0.5960E-05,0.5418E+09,0.9409E+09,0.3511E+09
   751,0.1178E-04,0.1550E-04,0.5722E-05,0.5555E+09,0.1050E+10,0.3877E+09
   801,0.1206E-04,0.1764E-04,0.6676E-05,0.5942E+09,0.9599E+09,0.3632E+09
   851,0.1054E-04,0.1836E-04,0.5484E-05,0.7191E+09,0.1242E+10,0.3708E+09
   901,0.9656E-05,0.1383E-04,0.5245E-05,0.8371E+09,0.1374E+10,0.5213E+09
   951,0.9894E-05,0.1216E-04,0.5484E-05,0.8182E+09,0.1387E+10,0.6257E+09
  1001,0.1178E-04,0.1836E-04,0.5484E-05,0.7866E+09,0.1460E+10,0.4362E+09
  1051,0.1011E-04,0.1669E-04,0.6199E-05,0.9472E+09,0.1356E+10,0.5038E+09
  1101,0.1020E-04,0.1502E-04,0.6199E-05,0.9685E+09,0.1421E+10,0.5864E+09
  1151,0.1068E-04,0.1979E-04,0.6437E-05,0.1023E+10,0.1430E+10,0.4653E+09
  1201,0.1495E-04,0.1979E-04,0.7629E-05,0.6863E+09,0.1259E+10,0.4855E+09
  1251,0.1216E-04,0.1860E-04,0.6914E-05,0.9450E+09,0.1447E+10,0.5382E+09
  1301,0.1292E-04,0.1693E-04,0.7153E-05,0.8444E+09,0.1455E+10,0.6148E+09
  1351,0.1278E-04,0.2480E-04,0.7391E-05,0.9905E+09,0.1462E+10,0.4359E+09
  1401,0.1466E-04,0.3171E-04,0.7629E-05,0.9093E+09,0.1469E+10,0.3535E+09
  1451,0.1240E-04,0.2337E-04,0.7629E-05,0.1053E+10,0.1521E+10,0.4968E+09
  1501,0.1488E-04,0.1860E-04,0.9060E-05,0.8362E+09,0.1325E+10,0.6457E+09
  1551,0.2072E-04,0.2980E-04,0.1693E-04,0.6235E+09,0.7330E+09,0.4163E+09
  1601,0.2017E-04,0.2933E-04,0.1574E-04,0.6638E+09,0.8139E+09,0.4368E+09
  1651,0.1514E-04,0.2646E-04,0.8821E-05,0.1007E+10,0.1497E+10,0.4991E+09
  1701,0.1397E-04,0.2837E-04,0.8821E-05,0.1166E+10,0.1543E+10,0.4796E+09
  1751,0.1130E-04,0.2193E-04,0.6437E-05,0.1482E+10,0.2176E+10,0.6386E+09
  1801,0.1001E-04,0.1574E-04,0.6676E-05,0.1635E+10,0.2158E+10,0.9156E+09
  1851,0.1311E-04,0.2217E-04,0.7153E-05,0.1255E+10,0.2070E+10,0.6678E+09
  1901,0.1051E-04,0.1502E-04,0.6914E-05,0.1605E+10,0.2200E+10,0.1012E+10
  1951,0.9847E-05,0.1621E-04,0.7153E-05,0.1719E+10,0.2182E+10,0.9627E+09
  2001,0.1056E-04,0.1502E-04,0.7391E-05,0.1642E+10,0.2166E+10,0.1066E+10
  2051,0.1490E-04,0.2599E-04,0.7391E-05,0.1251E+10,0.2220E+10,0.6314E+09
  2101,0.1409E-04,0.2098E-04,0.7868E-05,0.1310E+10,0.2136E+10,0.8011E+09
  2151,0.1268E-04,0.1621E-04,0.7629E-05,0.1465E+10,0.2255E+10,0.1061E+10
  2201,0.1197E-04,0.1597E-04,0.7868E-05,0.1594E+10,0.2238E+10,0.1102E+10
  2251,0.1338E-04,0.1788E-04,0.7868E-05,0.1482E+10,0.2289E+10,0.1007E+10
  2301,0.1411E-04,0.1717E-04,0.8345E-05,0.1375E+10,0.2206E+10,0.1072E+10
  2351,0.1428E-04,0.2265E-04,0.8345E-05,0.1494E+10,0.2254E+10,0.8304E+09
  2401,0.1290E-04,0.1860E-04,0.9060E-05,0.1593E+10,0.2120E+10,0.1033E+10
  2451,0.1347E-04,0.1884E-04,0.8583E-05,0.1614E+10,0.2284E+10,0.1041E+10
  2501,0.1414E-04,0.3624E-04,0.9060E-05,0.1721E+10,0.2208E+10,0.5521E+09
  2551,0.1662E-04,0.2289E-04,0.9298E-05,0.1301E+10,0.2195E+10,0.8916E+09
  2601,0.1576E-04,0.2742E-04,0.9537E-05,0.1477E+10,0.2182E+10,0.7589E+09
  2651,0.1850E-04,0.5460E-04,0.9775E-05,0.1439E+10,0.2170E+10,0.3884E+09
  2701,0.1438E-04,0.1717E-04,0.1025E-04,0.1542E+10,0.2108E+10,0.1259E+10
  2751,0.1292E-04,0.2599E-04,0.7629E-05,0.1922E+10,0.2885E+10,0.8469E+09
  2801,0.1073E-04,0.1669E-04,0.7153E-05,0.2300E+10,0.3133E+10,0.1343E+10
  2851,0.1056E-04,0.1645E-04,0.7153E-05,0.2343E+10,0.3189E+10,0.1386E+10
  2901,0.1011E-04,0.1693E-04,0.7868E-05,0.2428E+10,0.2950E+10,0.1371E+10
  2951,0.1366E-04,0.2527E-04,0.7868E-05,0.2022E+10,0.3001E+10,0.9341E+09
  3001,0.1044E-04,0.1621E-04,0.7868E-05,0.2464E+10,0.3051E+10,0.1481E+10
  3051,0.1280E-04,0.1979E-04,0.7629E-05,0.2181E+10,0.3199E+10,0.1233E+10
  3101,0.1330E-04,0.2503E-04,0.7629E-05,0.2158E+10,0.3252E+10,0.9910E+09
  3151,0.1283E-04,0.2551E-04,0.8106E-05,0.2260E+10,0.3110E+10,0.9881E+09
  3201,0.1230E-04,0.1597E-04,0.8345E-05,0.2222E+10,0.3069E+10,0.1603E+10
  3251,0.1168E-04,0.1717E-04,0.8106E-05,0.2396E+10,0.3208E+10,0.1515E+10
  3301,0.1452E-04,0.3028E-04,0.8345E-05,0.2024E+10,0.3165E+10,0.8722E+09
